index,time gate,start,end,width
 9,   99,   91,   110,   19
10,  120,  110,   131,   21
11,  141,  131,   154,   24
12,  167,  154,   183,   29
13,  198,  183,   216,   34
14,  234,  216,   258,   42
15,  281,  258,   310,   53
16,  339,  310,   373,   63
17,  406,  373,   445,   73
18,  484,  445,   529,   84
19,  573,  529,   628,   99
20,  682,  628,   750,  123
21,  818,  750,   896,  146
22,  974,  896,  1063,  167
23, 1151, 1063,  1261,  198
24, 1370, 1261,  1506,  245
25, 1641, 1506,  1797,  292
26, 1953, 1797,  2130,  333
27, 2307, 2130,  2526,  396
28, 2745, 2526,  3016,  490
29, 3286, 3016,  3599,  583
30, 3911, 3599,  4266,  667
31, 4620, 4266,  5058,  792
32, 5495, 5058,  6037,  979
33, 6578, 6037,  7203, 1167
34, 7828, 7203,  8537, 1334
35, 9245, 8537, 10120, 1584
